559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-12-17T17:24:51.606Z	5834b7b2d73408ce4f37ef2c	madgraphex	585574e3c895451b75ea8262	Salut à tous
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-11-22T04:38:51.039Z	58327f45d73408ce4f377241	nguiz	5833cbdbc790e0ec5616d6a9	Allo, est-ce-possible de créer un chat Quebec-City ?
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-11-20T02:20:08.526Z	57c102cf40f3a6eec0619047	JorianCode	583108585eb8ea792a406eaa	Salut
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-09-17T11:02:20.664Z	540a150e163965c9bc202eaf	abhisekp	57dd22bc27a8458f7f216a54	"-----

-----

-----
## This room will be closed and archived.
** @/all Please move discussion of this topic to our forum, or to one of the official Free Code Camp chat rooms: http://forum.freecodecamp.com/t/free-code-camp-official-chat-rooms/19390**

-----

-----

-----"
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-06-06T10:37:30.121Z	55c77d320fc9f982beacc379	Justin2997	5755526ae96484d0692fed65	@mizujin surment mais tu a plus de chance sur la page facebooke 
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-06-04T00:38:57.377Z	558ca4ed15522ed4b3e2cf94	mizujin	575223216c75e0cd69591744	Salut, est-ce qu'il y a du monde de la ville de Québec ici ?
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2016-04-24T02:05:24.900Z	571a541a659847a7aff40d87	M33x0	571c29e401f15fc17a62aa18	Salut tous le monde
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-10-22T10:54:22.108Z	55c77d320fc9f982beacc379	Justin2997	5628c05edd7fb14516cf81f1	Ceux qui sont interesser MP moi pour que je vous ajoute
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-10-22T10:53:23.491Z	55c77d320fc9f982beacc379	Justin2997	5628c023d73f9e4f3b1b72e0	Il a du monde qu’il veulent partir un partie sur https://habitica.com ? Pour créé de bonne habitude
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-10-06T21:42:28.593Z	546fc9f1db8155e6700d6e8c	QuincyLarson	561440447e53d02c09d03583	"##Please note that we now recommend campers use their Campsite’s Facebook group for chatting instead of their campsite’s Gitter chatroom. 
We are doing this because few of our Campsite Gitter chatroooms have active synchronous discussions, and about 1/3rd of conversations consist of someone saying “hello” and not getting a response. Most of the discussions are asynchronous, which Facebook posts and group messages are better suited for.
We’ve removed this Gitter room from our Campsite directory. Still, we will keep it open for archival purposes, and you can keep using it if you’d like.
Here’s a short blog post about how our Campsites are evolving and growing: http://blog.freecodecamp.com/2015/09/jump-start-your-local-campsite-with-coffee-and-code.html"
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-10-05T10:52:20.337Z	55a04e965e0d51bd787af5a4	Marie000	561256640b9059c80b7a5b8d	N'oubliez pas, nous avons un meeting Coffee and Code ce jeudi 8 octobre a 20h au cafe Kahwa, 331 ave Mont Royal Est. Tout le monde est bienvenu! 
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-20T16:39:42.804Z	55a808cc8a7b72f55c3f9f74	vercasso	55fee14eaef03edd3ed16c57	@Marie000 , oui, j'avais compris cela. Mais j'essayais de les faire passer dans l'autre fonction de filter() et je n'y arrivais pas. J'ai finalement utilisé indexOf et ça marché. Merci.
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-19T01:12:48.221Z	55a04e965e0d51bd787af5a4	Marie000	55fcb69018e0111d7e4f9f5a	"oups... ce devait etre 
```
arguments[0]
```
"
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-19T01:12:11.784Z	55a04e965e0d51bd787af5a4	Marie000	55fcb66bc588a0de6edf44cb	au cas ou tu sois encore sur le Seek and Destroy... tes arguments sont un array. Tu peux donc les acceder avec arguments[0], etc. 
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-17T01:23:08.365Z	55a808cc8a7b72f55c3f9f74	vercasso	55fa15fc6f976dff036ed71f	Pas de probleme. Si d'autres sont rendus, je veux savoir si je dois utiliser le [..., thisArg] avec filter().
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-17T01:07:12.632Z	55c77d320fc9f982beacc379	Justin2997	55fa1240a2c7aa6b1086e453	@vercasso désoler je peut pas d’aider je suis pas encore la
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-09-17T00:08:13.975Z	55a808cc8a7b72f55c3f9f74	vercasso	55fa046d18e0111d7e4f3f87	Je suis au Seek and Destroy et je suis bloqué. Pas sûr comment accéder à l'objet arguments. 
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-08-24T14:08:37.811Z	55cb684a0fc9f982bead2731	studur	55db2565fcfd5a7865af197c	@Justin2997 Moi aussi je travailler sur bootstrap présentement. J'ai terminé à 75% le premier projet
559397cf15522ed4b3e32629	FreeCodeCamp/Montreal	2015-08-24T14:07:45.985Z	55c77d320fc9f982beacc379	Justin2997	55db2531fcfd5a7865af1972	@studur Good je vais aller regarder sa. Je suis le curriculum moi aussi. Je fini Bootsrap dans peut de temps et je comment le JS
