31_MtD,32_VUTN,3
26_Dilih,27_M,1
6_RLNiA,7_CtE,82
18_STC,19_SaD,1
30_BA,31_EBT,1
23_SAP,24_SCM,12
19_SU,20_CHE,3
2_CfP,3_FaN,1
25_SAP,26_SCM,24
3_FaN,4_FtLWiaS,1
27_S,28_BA,6
_,0_MB,267
15_FB,16_Wat,1
9_SAP,10_CtE,2
33_Nrp,34_EBT,1
35_P,36_SD,1
21_STC,22_M,2
24_SU,25_CHE,1
17_SANiaR,18_DTA,35
3_CfP,4_FtLWiaS,107
18_SaD,19_WdIb,1
21_Bw,22_CHE,1
13_Wat,14_M,1
14_Tas,15_CM,1
1_RaS,2_FaN,148
4_FtLWiaS,5_TCaS,97
26_FK,27_Dilih,1
19_DTA,20_SAOFN,1
31_VUTN,32_CR,1
31_EBT,32_MaP,1
19_SaD,20_WdIb,1
32_VUTN,33_BA,1
11_M,12_SF,1
32_BA,33_P,1
3_Wat,4_SaD,1
12_FB,13_Wat,22
31_EBT,32_VUTN,1
16_SANiaR,17_M,2
11_Rasras,12_Tas,4
19_WdIb,20_SANiaR,1
35_MtD,36_VUTN,18
26_FK,27_S,1
35_M,36_Ml,1
13_CM,14_SF,3
12_SF,13_FB,3
6_TCaS,7_RLNiA,1
24_SCM,25_FK,12
29_S,30_BA,22
29_SD,30_EBT,2
18_Bw,19_CHE,12
14_WdIb,15_SANiaR,1
9_RLNiA,10_CtE,2
29_MtD,30_SD,1
15_CM,16_SF,1
23_SAP,24_FK,3
28_S,29_MtD,1
23_Bw,24_CHE,1
33_BA,34_M,1
21_Bw,22_SU,1
29_MaP,30_VUTN,1
16_FB,17_Wat,1
30_SD,31_EBT,1
31_SCM,32_BA,1
17_SANiaR,18_SAOFN,1
36_MtD,37_CR,1
4_SaD,5_FaN,1
13_FB,14_Wat,40
16_WdIb,17_SANiaR,37
29_M,30_Ml,4
30_EBT,31_MaP,2
21_CHE,22_SAOFN,2
20_SU,21_CHE,1
30_MaP,31_MtD,3
20_CHE,21_STC,3
4_CfP,5_FtLWiaS,1
34_VUTN,35_P,1
6_CfP,7_FtLWiaS,1
25_FK,26_Dilih,12
35_P,36_MtD,1
